"Specie","Freq"
"Abarema langsdorffii",18
"Abatia angeliana",5
"Abildgaardia ovata",1
"Abrodictyum rigidum",20
"Abuta selloana",9
"Abutilon amoenum",2
"Abutilon darwinii",1
"Abutilon fluviatile",1
"Abutilon megapotamicum",3
"Abutilon rufinerve",5
"Abutilon umbelliflorum",4
"Acacia martiusiana",2
"Acacia nitidifolia",5
"Acacia plumosa",1
"Acacia velutina",1
"Acaena eupatoria",5
"Acalypha brasiliensis",2
"Acalypha communis",3
"Acalypha gracilis",26
"Acalypha poiretii",1
"Acanthospermum australe",9
"Acca sellowiana",16
"Achatocarpus praecox",1
"Achetaria ocymoides",1
"Achyrocline alata",2
"Achyrocline flaccida",1
"Achyrocline satureioides",28
"Acianthera aphthosa",4
"Acianthera auriculata",4
"Acianthera bragae",4
"Acianthera cryptantha",1
"Acianthera exarticulata",1
"Acianthera glanduligera",8
"Acianthera hygrophila",6
"Acianthera luteola",8
"Acianthera macropoda",1
"Acianthera murexoidea",1
"Acianthera oligantha",5
"Acianthera panduripetala",3
"Acianthera pardipes",1
"Acianthera pubescens",3
"Acianthera ramosa",1
"Acianthera recurva",1
"Acianthera saundersiana",11
"Acianthera saurocephala",4
"Acianthera serpentula",2
"Acianthera sonderiana",29
"Acianthera strupifolia",1
"Acicarpha spathulata",11
"Acicarpha tribuloides",4
"Acisanthera alsinaefolia",6
"Acisanthera variabilis",4
"Acmella bellidioides",3
"Acmella serratifolia",2
"Acnistus arborescens",11
"Acroceras zizanioides",1
"Acrostichum danaeifolium",4
"Actinocephalus polyanthus",2
"Actinostemon concolor",58
"Adelothecium bogotense",1
"Adenocalymma apterospermum",1
"Adenocalymma dusenii",2
"Adenocalymma marginatum",10
"Adenostemma brasilianum",12
"Adenostemma verbesina",9
"Adesmia ciliata",4
"Adesmia psoraleoides",4
"Adesmia reitziana",1
"Adesmia sulina",2
"Adesmia tristis",2
"Adesmia vallsii",1
"Adiantopsis chlorophylla",15
"Adiantopsis perfasciculata",8
"Adiantopsis radiata",7
"Adiantopsis regularis",3
"Adiantum abscissum",6
"Adiantum curvatum",7
"Adiantum latifolium",1
"Adiantum lorentzii",1
"Adiantum pentadactylon",27
"Adiantum petiolatum",1
"Adiantum pseudotinctum",11
"Adiantum raddianum",41
"Adiantum tetraphyllum",1
"Aechmea blumenavii",25
"Aechmea calyculata",8
"Aechmea candida",3
"Aechmea caudata",41
"Aechmea comata",6
"Aechmea cylindrata",5
"Aechmea distichantha",10
"Aechmea gamosepala",28
"Aechmea kertesziae",11
"Aechmea nudicaulis",36
"Aechmea ornata",32
"Aechmea pectinata",3
"Aechmea recurvata",39
"Aegiphila brachiata",8
"Aegiphila integrifolia",24
"Aegiphila obducta",64
"Aegiphila riedeliana",3
"Aeschynomene falcata",2
"Agalinis communis",2
"Agalinis genistifolia",1
"Agalinis linarioides",1
"Agarista chlorantha",1
"Agarista eucalyptoides",4
"Agarista niederleinii",4
"Agarista pulchella",4
"Agenium leptocladum",1
"Agenium villosum",4
"Ageratum fastigiatum",1
"Agonandra excelsa",3
"Agrimonia hirsuta",2
"Agrostis lenis",4
"Agrostis longiberbis",4
"Agrostis montevidensis",11
"Aiouea acarodomatifera",5
"Aiouea saligna",9
"Alansmia reclinata",35
"Alatiglossum macropetalum",1
"Albizia burkartiana",1
"Albizia edwallii",6
"Albizia niopoides",2
"Alchornea glandulosa",29
"Alchornea sidifolia",15
"Alchornea triplinervia",46
"Allamanda cathartica",5
"Allamanda schottii",1
"Allophylus edulis",43
"Allophylus guaraniticus",30
"Allophylus petiolulatus",43
"Aloysia gratissima",4
"Aloysia polygalifolia",1
"Aloysia virgata",12
"Alseis floribunda",16
"Alsophila setosa",39
"Alstroemeria apertiflora",1
"Alstroemeria isabellana",3
"Alstroemeria sellowiana",1
"Alternanthera brasiliana",5
"Alternanthera littoralis",3
"Alternanthera maritima",6
"Alternanthera micrantha",4
"Alternanthera paronychioides",1
"Alternanthera philoxeroides",6
"Alternanthera praelonga",1
"Alternanthera reineckii",2
"Alternanthera tenella",1
