"Specie","Freq"
"Abarema brachystachya",1
"Abarema langsdorffii",62
"Abatia angeliana",15
"Abildgaardia ovata",1
"Abrodictyum rigidum",66
"Abuta selloana",27
"Abutilon amoenum",12
"Abutilon darwinii",1
"Abutilon fluviatile",2
"Abutilon megapotamicum",16
"Abutilon rufinerve",5
"Abutilon umbelliflorum",13
"Acacia martiusiana",1
"Acacia nitidifolia",5
"Acacia plumosa",1
"Acacia velutina",1
"Acaena eupatoria",26
"Acalypha brasiliensis",5
"Acalypha communis",5
"Acalypha gracilis",94
"Acalypha poiretii",8
"Acanthocoleus aberrans",1
"Acanthospermum australe",28
"Acanthospermum hispidum",2
"Acaulon uleanum",1
"Acca sellowiana",79
"Achatocarpus praecox",5
"Achetaria ocymoides",10
"Achyrocline alata",15
"Achyrocline albicans",1
"Achyrocline flaccida",5
"Achyrocline glandulosa",1
"Achyrocline satureioides",101
"Acianthera aphthosa",7
"Acianthera auriculata",15
"Acianthera bragae",11
"Acianthera crepiniana",3
"Acianthera cryptantha",2
"Acianthera exarticulata",3
"Acianthera glanduligera",27
"Acianthera hatschbachii",2
"Acianthera hygrophila",40
"Acianthera hystrix",3
"Acianthera jordanensis",1
"Acianthera luteola",30
"Acianthera macropoda",10
"Acianthera murexoidea",3
"Acianthera nemorosa",2
"Acianthera oligantha",17
"Acianthera panduripetala",11
"Acianthera pardipes",2
"Acianthera pectinata",2
"Acianthera pubescens",11
"Acianthera punctatiflora",1
"Acianthera ramosa",2
"Acianthera recurva",4
"Acianthera saundersiana",50
"Acianthera saurocephala",20
"Acianthera serpentula",6
"Acianthera sonderiana",71
"Acianthera strupifolia",3
"Acianthera translucida",1
"Acicarpha bonariensis",8
"Acicarpha procumbens",1
"Acicarpha spathulata",25
"Acicarpha tribuloides",17
"Acisanthera alsinaefolia",6
"Acisanthera variabilis",10
"Acmella bellidioides",10
"Acmella ciliata",3
"Acmella serratifolia",4
"Acnistus arborescens",23
"Acroceras zizanioides",1
"Acrostichum aureum",3
"Acrostichum danaeifolium",19
"Actinocephalus polyanthus",8
"Actinostachys pennula",3
"Actinostemon concolor",144
"Adenocalymma apterospermum",4
"Adenocalymma comosum",4
"Adenocalymma dusenii",9
"Adenocalymma marginatum",31
"Adenostemma brasilianum",39
"Adenostemma verbesina",19
"Adesmia araujoi",3
"Adesmia arillata",1
"Adesmia ciliata",25
"Adesmia latifolia",6
"Adesmia psoraleoides",14
"Adesmia punctata",5
"Adesmia reitziana",6
"Adesmia rocinhensis",1
"Adesmia sulina",8
"Adesmia tristis",21
"Adesmia vallsii",4
"Adiantopsis chlorophylla",35
"Adiantopsis occulta",1
"Adiantopsis perfasciculata",17
"Adiantopsis radiata",19
"Adiantopsis regularis",7
"Adiantum abscissum",23
"Adiantum curvatum",9
"Adiantum latifolium",4
"Adiantum lorentzii",3
"Adiantum pentadactylon",76
"Adiantum petiolatum",3
"Adiantum poiretii",2
"Adiantum pseudotinctum",29
"Adiantum raddianum",107
"Adiantum terminatum",2
"Adiantum tetraphyllum",3
"Aechmea blumenavii",100
"Aechmea bromeliifolia",1
"Aechmea calyculata",64
"Aechmea candida",4
"Aechmea caudata",106
"Aechmea coelestis",1
"Aechmea comata",31
"Aechmea cylindrata",20
"Aechmea distichantha",28
"Aechmea gamosepala",96
"Aechmea kertesziae",26
"Aechmea kleinii",3
"Aechmea lindenii",2
"Aechmea nudicaulis",103
"Aechmea ornata",77
"Aechmea pectinata",7
"Aechmea recurvata",103
"Aechmea rubroaristata",2
"Aechmea winkleri",3
"Aegiphila brachiata",29
"Aegiphila integrifolia",78
"Aegiphila obducta",177
"Aegiphila riedeliana",5
"Aegiphila verticillata",1
"Aeschynomene americana",1
"Aeschynomene denticulata",3
"Aeschynomene elegans",2
"Aeschynomene falcata",18
"Aeschynomene fructipendula",1
"Aeschynomene sensitiva",3
"Agalinis communis",17
"Agalinis genistifolia",2
"Agalinis linarioides",2
"Agarista chlorantha",12
"Agarista eucalyptoides",17
"Agarista niederleinii",20
"Agarista pulchella",31
"Agenium leptocladum",1
"Agenium villosum",9
"Ageratum fastigiatum",3
"Agonandra excelsa",7
"Agrimonia hirsuta",8
"Agrostis lenis",17
"Agrostis longiberbis",19
"Agrostis montevidensis",37
"Aiouea acarodomatifera",3
"Aiouea saligna",43
"Alansmia reclinata",98
"Alatiglossum macropetalum",1
"Albizia burkartiana",2
"Albizia edwallii",23
"Albizia niopoides",6
"Albizia polycephala",4
"Alchornea glandulosa",56
"Alchornea sidifolia",49
"Alchornea triplinervia",95
"Aldama anchusifolia",2
"Aldama pilosa",7
"Aldama santacatarinensis",3
"Allamanda cathartica",8
"Allamanda schottii",8
"Allophylus edulis",144
"Allophylus guaraniticus",127
"Allophylus petiolulatus",107
"Aloysia brasiliensis",3
"Aloysia dusenii",3
"Aloysia gratissima",12
"Aloysia polygalifolia",2
"Aloysia virgata",47
"Alseis floribunda",34
"Alsophila capensis",2
"Alsophila setosa",105
"Alstroemeria amabilis",1
"Alstroemeria apertiflora",8
"Alstroemeria inodora",1
"Alstroemeria isabellana",21
"Alstroemeria sellowiana",11
"Alternanthera brasiliana",24
"Alternanthera littoralis",13
"Alternanthera maritima",6
"Alternanthera micrantha",24
"Alternanthera paronychioides",2
"Alternanthera philoxeroides",25
"Alternanthera praelonga",1
"Alternanthera reineckii",9
"Alternanthera sessilis",2
"Alternanthera tenella",14
"Amaioua guianensis",55
"Amaioua intermedia",13
"Amauropelta burkartii",4
"Amauropelta decurtata",9
"Amauropelta juergensii",7
"Amauropelta metteniana",3
"Amauropelta pachyrhachis",7
"Amauropelta patula",3
"Amauropelta ptarmica",17
"Amauropelta raddii",30
"Amauropelta recumbens",7
"Amauropelta regnelliana",7
"Amauropelta retusa",26
"Amauropelta rivularioides",4
"Amauropelta sanctae-catharinae",3
"Amauropelta saxicola",19
"Amauropelta tenerrima",2
"Ambrosia elatior",3
"Ambrosia polystachya",2
"Ambrosia tenuifolia",4
"Amorimia exotropica",6
"Amphibromus quadridentulus",8
"Amphilophium crucigerum",100
"Amphilophium dolichoides",2
"Amphilophium dusenianum",4
"Amphilophium paniculatum",8
"Anagallis filiformis",14
"Ananas ananassoides",1
"Ananas bracteatus",3
"Ananas fritzmuelleri",4
"Anathallis adenochila",4
"Anathallis corticicola",3
"Anathallis dryadum",3
"Anathallis linearifolia",14
"Anathallis malmeana",3
"Anathallis microphyta",5
"Anathallis obovata",9
"Anathallis pabstii",1
"Anathallis paranaensis",1
"Anathallis rubens",37
"Anathallis sclerophylla",26
"Anchietea exalata",7
"Anchietea pyrifolia",59
"Andira anthelmia",6
"Andira fraxinifolia",65
"Andropogon arenarius",7
"Andropogon bicornis",46
"Andropogon lateralis",41
"Andropogon leucostachyus",36
"Andropogon lindmanii",1
"Andropogon macrothrix",38
"Andropogon selloanus",14
"Andropogon virgatus",13
"Androtrichum trigynum",36
"Anemia phyllitidis",450
"Anemia raddiana",67
"Anemia tomentosa",51
"Anemia warmingii",2
"Anemone decapetala",8
"Anemone sellowii",4
"Anemopaegma chamberlaynii",4
"Anemopaegma nebulosum",2
"Anemopaegma prostratum",7
"Anetium citrifolium",3
"Aneura pinguis",2
"Angelonia integerrima",6
"Aniba firmula",76
"Annona cacans",19
"Annona emarginata",136
"Annona glabra",18
"Annona maritima",4
"Annona neosalicifolia",6
"Annona neosericea",123
"Annona rugulosa",13
"Annona sylvatica",89
"Anogramma chaerophylla",1
"Anoplolejeunea conferta",3
"Anredera cordifolia",44
"Anredera tucumanensis",5
"Anthoceros punctatus",2
"Anthurium acutum",51
"Anthurium gaudichaudianum",303
"Anthurium hatschbachii",1
"Anthurium lacerdae",2
"Anthurium loefgrenii",18
"Anthurium pentaphyllum",152
"Anthurium scandens",210
