"scrubbed_species_binomial","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","is_cultivated_observation","is_cultivated_in_region","is_location_cultivated"
"Psidium cattleianum",-27,-49.41,2010-03-15,"SpeciesLink","UFSC","UFSC","UFSC","FLOR",187,0,0,NA
"Psidium cattleianum",-27,-49.41,2010-03-15,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Psidium cattleianum",-27,-49.41,2010-03-15,"SpeciesLink","UFSC","UFSC","UFSC","FLOR",187,0,0,NA
"Pouteria caimito",NA,NA,2009-10-10,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Passiflora edulis",-28.464444,-49.007222,1905-06-08,"SpeciesLink","PUCRS","PUCRS","PUCRS","MPUC",274,1,0,NA
"Passiflora edulis",-26.365003,-49.235589,2010-05-10,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Passiflora edulis",-27.630278,-49.049444,2010-02-01,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Psidium cattleianum",-26.279381,-49.681358,2007-12-15,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Psidium cattleianum",-27.629167,-49.410833,2009-11-28,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Psidium cattleianum",-27.630278,-49.500556,2009-11-25,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Psidium cattleianum",-27.631389,-49.321111,2009-12-01,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Passiflora edulis",-26.1925,-49.047778,2009-12-15,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Passiflora edulis",-26.4861,-49.0667,1929-10-11,"SpeciesLink","IAC","IAC","IAC","IAC",364,0,0,NA
"Passiflora edulis",-27.200111,-48.494389,2010-01-29,"GBIF","PNFM","PNFM","PNFM","IRAI",1267,1,0,NA
"Psidium cattleianum",-26.223889,-49.097778,2009-12-15,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Psidium cattleianum",-26.1925,-49.047778,2009-12-15,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Psidium cattleianum",-26.187222,-49.140833,2009-11-26,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Psidium cattleianum",-26.37,-48.87,2009-11-25,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Psidium cattleianum",-26.189031,-50.365511,2007-11-12,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Psidium cattleianum",-27.092222,-50.038056,2010-01-28,"SpeciesLink","FURB","FURB","FURB","FURB",360,0,0,NA
"Psidium cattleianum",-28.708056,-49.588611,2009-11-07,"SpeciesLink","UFSC","UFSC","UFSC","FLOR",187,0,0,NA
"Psidium cattleianum",-28.708056,-49.588611,2009-11-07,"SpeciesLink","UFSC","UFSC","UFSC","FLOR",187,0,0,NA
