"scrubbed_species_binomial","trait_name","trait_value"
"Abarema langsdorffii","whole plant woodiness","woody"
"Abarema langsdorffii","whole plant growth form","Tree"
"Abarema langsdorffii","whole plant growth form diversity","Tree"
"Abatia angeliana","whole plant woodiness","woody"
"Abatia angeliana","whole plant growth form","Herb"
"Abatia angeliana","whole plant growth form diversity","Shrub_Herb"
"Abildgaardia ovata","whole plant woodiness","herbaceous"
"Abildgaardia ovata","whole plant growth form","Herb"
"Abildgaardia ovata","whole plant growth form diversity","Herb"
"Abuta selloana","whole plant growth form","Liana"
"Abuta selloana","whole plant growth form diversity","Liana"
"Abutilon amoenum","whole plant growth form","Shrub"
"Abutilon amoenum","whole plant growth form diversity","Shrub"
"Abutilon megapotamicum","whole plant growth form","Shrub"
"Abutilon megapotamicum","whole plant growth form diversity","Shrub"
"Abutilon umbelliflorum","whole plant growth form","Shrub"
"Abutilon umbelliflorum","whole plant growth form diversity","Tree_Shrub"
"Acalypha communis","whole plant woodiness","woody"
"Acanthospermum australe","whole plant woodiness","herbaceous"
"Acanthospermum australe","whole plant growth form","Herb"
"Acanthospermum australe","whole plant growth form diversity","Shrub_Herb"
"Acca sellowiana","stem wood density","0.75"
"Acca sellowiana","whole plant woodiness","woody"
"Acca sellowiana","stem wood density","0.75"
"Acca sellowiana","whole plant growth form","Tree"
"Acca sellowiana","whole plant growth form diversity","Tree"
"Achatocarpus praecox","whole plant woodiness","woody"
"Achatocarpus praecox","whole plant vegetative phenology","deciduous"
"Achatocarpus praecox","whole plant growth form diversity","Shrub_Tree"
"Achatocarpus praecox","whole plant growth form","Tree"
"Achatocarpus praecox","diameter at breast height (1.3 m)","2.5"
"Achatocarpus praecox","diameter at breast height (1.3 m)","6"
"Achatocarpus praecox","diameter at breast height (1.3 m)","13"
"Achatocarpus praecox","diameter at breast height (1.3 m)","2.5"
"Achatocarpus praecox","diameter at breast height (1.3 m)","5"
"Achatocarpus praecox","diameter at breast height (1.3 m)","3"
