"scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","project_pi_contact","access","id"
"Anemia phyllitidis","whole plant growth form","Herb",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk","public",15301
"Myrsine coriacea","diameter at breast height (1.3 m)","8.02140913183153","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",34400
"Guarea macrophylla","diameter at breast height (1.3 m)","6.9","cm",NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",330517
"Myrsine coriacea","diameter at breast height (1.3 m)","3.81971863420549","cm",NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",343952
"Guarea macrophylla","diameter at breast height (1.3 m)","4","cm",NA,-12.5833,-69.15,NA,NA,"James S. MIller",NA,"public",1368145
"Psychotria suterella","diameter at breast height (1.3 m)","5","cm",NA,-24.136,-47.864,NA,NA,"James S. MIller",NA,"public",1626432
"Rumohra adiantiformis","whole plant growth form","forb",NA,NA,NA,NA,NA,NA,"Susan Wiser","WiserS@landcareresearch.co.nz","public",1808997
"Rumohra adiantiformis","whole plant growth form","forb",NA,NA,NA,NA,NA,NA,"Susan Wiser","WiserS@landcareresearch.co.nz","public",1812680
"Myrsine coriacea","whole plant growth form","tree",NA,NA,-34.089,-53.788,NA,NA,"Mauricio Bonifacino",NA,"public",1830422
"Rumohra adiantiformis","whole plant growth form","forb",NA,NA,NA,NA,NA,NA,"Susan Wiser","WiserS@landcareresearch.co.nz","public",1837998
"Rumohra adiantiformis","whole plant growth form","forb",NA,NA,NA,NA,NA,NA,"Susan Wiser","WiserS@landcareresearch.co.nz","public",1878483
"Guarea macrophylla","whole plant growth form","tree",NA,NA,-14.7111,-61.1542,NA,NA,"Tim Killeen",NA,"public",1894081
"Rumohra adiantiformis","whole plant growth form","forb",NA,NA,NA,NA,NA,NA,"Susan Wiser","WiserS@landcareresearch.co.nz","public",1935260
"Rumohra adiantiformis","whole plant growth form","forb",NA,NA,NA,NA,NA,NA,"Susan Wiser","WiserS@landcareresearch.co.nz","public",1957580
"Myrsine umbellata","stem wood density","0.86","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3108847
"Myrsine umbellata","stem wood density","0.55","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3108848
"Dalbergia frutescens","whole plant woodiness","woody",NA,NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.63q27.2","Zanne AE","aezanne@gmail.com","public",3128840
"Myrsine umbellata","stem wood density","0.55","g.cm-3","oven dry mass/fresh volume;data compilation",NA,NA,NA,"http://datadryad.org/repo/handle/10255/dryad.235"," Zanne, A.E., Lopez-Gonzalez, G., Coomes, D.A., Ilic, J., Jansen, S., Lewis, S.L., Miller, R.B., Swenson, N.G., Wiemann, M.C., and Chave, J","G.Lopez-Gonzalez@leeds.ac.uk","public",3148533
"Endlicheria paniculata","stem wood density","0.682","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3154361
"Esenbeckia grandiflora","stem wood density","1.076","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3155123
"Guapira opposita","stem wood density","0.83","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3158997
"Guarea macrophylla","stem wood density","0.52","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3159044
"Guatteria australis","stem wood density","0.59","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3159096
"Myrsine coriacea","stem wood density","0.7","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3166638
"Myrsine coriacea","stem wood density","0.594","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3166639
"Myrsine coriacea","stem wood density","0.824","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3166644
"Clethra scabra","stem wood density","0.53","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3191319
"Cupania vernalis","stem wood density","0.65","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3192668
"Cupania vernalis","stem wood density","0.675","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3192669
"Dalbergia frutescens","stem wood density","0.6","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3193032
"Clethra scabra","stem wood density","0.442","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",3239060
"Myrsine coriacea","seed length","3.188","mm",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",3242262
